ID,RequirementText,Human_Functional (F),Human_Availability (A),Human_Fault Tolerance (FT),Human_Legal (L),Human_Look & Feel (LF),Human_Maintainability (MN),Human_Operability (O),Human_Performance (PE),Human_Portability (PO),Human_Scalability (SC),Human_Security (SE),Human_Usability (US)
4774,The vertical axis of the color map of the history window shall indicate hour of the day and the horizontal axis shall indicate the absolute date and the day of week.,1,0,0,0,1,0,0,0,0,0,0,0
4607,"Reliability will be ensured by extensive testing by the team members and mentors, if available.",0,0,1,0,0,0,0,0,0,0,0,0
6051,The Tasks window shall display all current and upcoming tasks to the user.,1,0,0,0,0,0,0,0,0,0,0,0
7354,The system shall allow staff members to capture hearing decisions for enforcement.,1,0,0,0,0,0,0,0,0,0,0,0
4300,System shall be able to delete user location information nightly via a cron job.,1,0,0,0,0,0,1,0,0,0,1,0
1576,The system should be able to support other types of message structure to cover f.i. a future driving licence network and correlated activities.,1,0,0,0,0,1,0,0,0,1,0,0
8557,The website shall focus on software quality attributes such as security and performance.,0,0,0,0,0,0,0,1,0,0,1,0
3887,The user interfaces shall be according to the Android User Interface Guidelines.,0,0,0,0,1,0,0,0,1,0,0,1
6996,"User shall enter card details for online payment, with the system verifying their validity.",1,0,0,0,0,0,0,0,0,0,0,0
6629,"System shall prompt ""OTP sent to mobile and email"" for verification.",1,0,0,0,0,0,0,0,0,0,1,0
8253,System shall not store user passwords in cookies on the customer’s computer.,0,0,0,0,0,0,0,0,0,0,1,0
1771,"Exposure investigation data to be captured must include information related to exposure levels, type of exposure (e.g., intimate, social, household, common conveyance), place of exposure, length of time the entity was exposed, frequency of exposure, and the entityâ€™s proximity to the source of exposure.",1,0,0,0,0,0,0,0,0,0,0,0
3474,The ELSS must provide Electronic Logbook data for transmission to the UK fisheries administrationsâ€™ ERS system in accordance with the frequency requirements defined below (Section 5.1).,1,0,0,1,0,0,0,0,0,0,0,0
1480,Loss of e2e â€“ the system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System.,0,1,1,0,0,0,0,0,0,0,0,0
4402,Users shall be able to access functionalities based on their assigned roles.,0,0,0,0,0,0,0,0,0,0,1,0
1617,Each student shall only belong to one class.,1,0,0,0,0,0,0,0,0,0,0,0
3376,"The user shall be able to provide metadata related to the conversion that will be stored in the converted files (e.g., institution, context, crawler, collection name, ...)",1,0,0,0,0,0,0,0,0,0,0,0
6214,A supervisor shall be able to abort/purge a table's account/meals from the active system with no expectation of payment.,1,0,0,0,0,0,0,0,0,0,1,0
484,The lead washing process will operate within the established physical web service structure.,0,0,0,0,0,0,1,0,0,0,0,0
5594,User shall be able to save and organize favorite websites using bookmarks.,1,0,0,0,0,0,0,0,0,0,0,0
5661,The system shall provide clear instructions and intuitive navigation for ease of use by all users.,0,0,0,0,0,0,0,0,0,0,0,1
2471,The DUAP System shall be able to log system operations.,1,0,0,0,0,0,1,0,0,0,0,0
5004,The idea field shall be limited to a maximum of 250 characters to match the current EDGE system limitation.,1,0,0,0,0,0,0,0,0,0,0,0
6764,"The system shall specify the content, format, and criteria for generating reports and other data outputs.",1,0,0,0,0,0,0,0,0,0,0,0
6193,"When in billing mode, a surface computer shall display a representation of tip denominations that may be dragged into a payment.",1,0,0,0,0,0,0,0,0,0,0,0
7550,"User shall ensure that when deploying a new version of an app including a shared dataset type, only dataset instances created by that app start using the new code.",0,0,0,0,0,1,1,0,0,0,1,0
9111,"The Student menu allows the user to access profile entry, other details, and result entry.",1,0,0,0,0,0,0,0,0,0,0,0
8313,System shall be accessible to users with disabilities.,0,0,0,0,0,0,0,0,0,0,0,1
5214,User shall specify bank details for issuing cheques obtained from selling stocks.,1,0,0,0,0,0,0,0,0,0,0,0
120,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,1,0,0,0,0,0,0,0,0,0,0,0
4376,"For interdepartmental requests, the system shall require approval from both a DA and faculty group member, unless submitted by a higher-level group.",1,0,0,0,0,0,0,0,0,0,1,0
2338,The DUAP Output Services shall be able to publish traffic data in the VISSIM traffic analysis tool VISSIM interface format.,1,0,0,0,0,0,1,0,1,0,0,0
3816,The application should support integration with wearable fitness trackers.,1,0,0,0,0,0,0,0,0,0,0,0
6891,The system shall be available to users 24/7 with minimal downtime.,0,1,1,0,0,0,0,0,0,0,0,0
1958,The system shall be capable of updating transition probabilities for donothing actions based on historical inspection data.,1,0,0,0,0,0,0,0,0,0,0,0
7012,System shall have a contractual agreement with an internet service provider for 99.999% availability through their network facilities.,0,1,0,0,0,0,0,0,0,0,0,0
6578,"System shall ensure 24x7 availability, allowing users to access the system at any time.",0,1,0,0,0,0,0,0,0,0,0,0
3534,"The system categorizes users on the basis of roles and privileges. Within these roles, the system also categorizes users based on the roles that they have within individual products. These are referred to as user account roles. Mashbot Campaigns supports the following account roles: Contributor, Approver, Publisher",0,0,0,0,0,0,0,0,0,0,1,0
9036,Users shall be able to register with a unique ID using their email address.,1,0,0,0,0,0,0,0,0,0,0,0
7650,"User shall be able to view a very clear map showing the buildings and rooms, so that they can make it to class on time.",1,0,0,0,0,0,0,0,0,0,0,1
1085,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.,0,0,0,0,0,0,1,1,0,0,0,0
1865,"Pontis 5.0 will be designed to be as straightforward and intuitive as possible, and familiar to existing users. The user interface will provide effective navigation, visual referencing, and task sequencing. Users will have access to on-line help throughout the UI.",0,0,0,0,0,0,0,0,0,0,0,1
5800,User shall/will have passwords stored securely using industry-standard hashing algorithms.,0,0,0,0,0,0,0,0,0,0,1,0
7381,The system shall store camper records from previous years for reference.,1,0,0,0,0,0,0,0,0,0,0,0
564,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,0,0,1,0,0,0,0,0,0,0,0,0
2112,"E-store should display the disclaimers, copyright, word mark, trademark and product warranties of the Marvel electronics and home entertainment.",1,0,0,1,0,0,0,0,0,0,0,0
4255,User shall be able to approve an exchange offer from another user by clicking Approve.,1,0,0,0,0,0,0,0,0,0,0,0
6521,The user interface shall adhere to responsive design principles to ensure optimal viewing and interaction experience across various devices and screen sizes.,0,0,0,0,1,0,0,0,1,0,0,1
6290,"The website of V Mart shall be user-friendly for non-technical users, regardless of its size.",0,0,0,0,0,0,0,0,0,0,0,1
9474,System shall send an email to the user's verified email address with a verification code or link to set a new password.,1,0,0,0,0,0,0,0,0,0,1,0
1150,It is important to design system to facilitated future evolution and facilitate maintenance operations.,0,0,0,0,0,1,0,0,0,0,0,0
4368,"The system shall utilize help bubbles to assist managers, customers, and administrators",1,0,0,0,0,0,0,0,0,0,0,1
7360,The system shall allow staff members to issue development-related permits.,1,0,0,0,0,0,0,0,0,0,0,0
6460,System shall display the uploaded videos on the user's channel.,1,0,0,0,0,0,0,0,0,0,0,0
7282,The system shall allow visitors to search for upcoming courses and events using an advanced search option.,1,0,0,0,0,0,0,0,0,0,0,0
6923,The system shall be scalable to accommodate a growing user base and data volume.,0,0,0,0,0,0,0,0,0,1,0,0
1314,The APAF system shall process the engineering and ancillary information necessary for calibration and science validation into IDFS data sets.,1,0,0,0,0,0,0,0,0,0,0,0
5654,System shall allow users to reset their passwords through a user-friendly and secure method. It should include verifying identity through security questions or sending verification codes to the registered email or phone number.,1,0,0,0,0,0,0,0,0,0,1,1
5139,"Social travel application shall send intelligence to the cache with location, timestamp, and metadata.",1,0,0,0,0,0,0,0,0,0,0,0
1673,"Systems supporting OM must support dynamically defined associations between entities for the purpose of defining relationships. For example, person-to-person (e.g., family relationship, exposure relationship), person-to- place (e.g., household, common place), animal-to-person, object-to-place, person-to-travel.",1,0,0,0,0,0,0,0,0,0,0,0
4,The system shall offer the ability to pause and resume the refresh of data.,1,0,0,0,0,0,0,0,0,0,0,0
7092,Admin shall onboard recycling centers on the platform to increase information accuracy.,1,0,0,0,0,0,0,0,0,0,0,0
6595,"Settings shall include notification settings, app language change, and help menu.",1,0,0,0,0,0,0,0,0,0,0,1
3856,Users shall have access to personalized health journey maps.,1,0,0,0,0,0,0,0,0,0,0,0
5670,System shall restrict users from viewing other users' details to ensure privacy and security.,1,0,0,0,0,0,0,0,0,0,1,0
3371,Provide a way to view crawls deltas for quality assurance,1,0,0,0,0,0,0,0,0,0,0,0
3154,The PEPPOL infrastructure SHOULD have the capability to submit a bid which contains a VCD.,1,0,0,0,0,0,0,0,0,0,0,0
4363,The system will do periodic backups through a live internet connection.,1,0,1,0,0,0,0,0,0,0,0,0
40,Realtor shall be able to generate a CMA report based on property criteria,1,0,0,0,0,0,0,0,0,0,0,0
2821,The user is responsible for content uploaded. NJIT policy prohibits the use NJIT facilities/assets for personal use.,0,0,0,1,0,0,0,0,0,0,0,0
8634,The system shall render complex projects faster with a compatible graphics card.,0,0,0,0,0,0,0,1,1,0,0,0
1619,A waiting list shall store the names and phone numbers of up to 100 potential customers waiting for a classroom opening to enroll their child.,1,0,0,0,0,0,0,0,0,1,0,0
6720,"If all the tasks are already completed, no task will appear in the view option.",1,0,0,0,0,0,0,0,0,0,0,0
6153,Users shall be able to send messages to a team of people.,1,0,0,0,0,0,0,0,0,0,0,0
2555,"The System shall provide the capability to operate in an Open Mode, within which authorized customers shall be allowed read-only access to requested Data Products. This is the nominal system mode.",1,0,0,0,0,0,0,0,0,0,1,0
6509,"System shall provide notifications for new incoming emails, calendar events, and other relevant updates.",1,0,0,0,0,0,0,0,0,0,0,0
4140,The system shall be able to update an existing dish in the list upon edit by an administrator.,1,0,0,0,0,0,0,0,0,0,0,0
8607,The computer shall have a processor that supports 64-bit architecture (multicore Intel or AMD Athlon 64).,0,0,0,0,0,0,0,0,1,0,0,0
2345,The DUAP Presentation Services shall include a user interface for browsing traffic information.,1,0,0,0,0,0,0,0,0,0,0,0
3092,A national authority MUST support critical processes in order to increase the trust between the entities involved.,0,0,0,0,0,0,0,0,0,0,1,0
5301,"Upon touching the how to play button on the menu screen, the how to play screen shall be displayed, and users shall be able to see screenshots of tutorial screens by sliding the windows.",1,0,0,0,0,0,0,0,0,0,0,1
4794,The system shall provide the management of user rights and permissions,1,0,0,0,0,0,0,0,0,0,1,0
8594,The system should be secure to protect user data and prevent unauthorized access.,0,0,0,0,0,0,0,0,0,0,1,0
9112,The Employee menu allows the user to access staff entry and attendance details.,1,0,0,0,0,0,0,0,0,0,0,0
4249,"User shall be able to browse items and see their pictures, prices, and other features.",1,0,0,0,0,0,0,0,0,0,0,0
2363,The DUAP System shall require users to log in for system access.,1,0,0,0,0,0,0,0,0,0,1,0
5282,System shall be able to ensure that the time elapsed between a player making a move and other players updating the game state is under 5 seconds.,0,0,0,0,0,0,0,1,0,0,0,0
591,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,0,0,0,0,0,0,0,0,0,0,0,1
4687,"The CPCC shall be able to function as a high availability computer for real-time correlator operations, hardware monitoring/control, and remote PLD/FPGA updates.",1,1,0,0,0,0,1,1,0,0,0,0
8711,A user shall be able to select a payment method and complete the payment.,1,0,0,0,0,0,0,0,0,0,0,0
458,The website shall achieve 99.5% up time.,0,1,0,0,0,0,0,0,0,0,0,0
5857,Search agents shall automatically send resumes matching specified criteria via email daily.,1,0,0,0,0,0,0,0,0,0,0,0
5776,System shall back up data every night and restore backups daily to ensure completeness and correctness.,1,0,1,0,0,0,0,0,0,0,0,0
7153,FABS user shall successfully submit a citywide as a PPoPZIP and pass validations for comprehensive data submission.,1,0,0,0,0,0,0,0,0,0,0,0
5273,User shall be given the choice of playing single or multiplayer.,1,0,0,0,0,0,0,0,0,0,0,0
8688,The system shall require a valid user ID and password for access.,0,0,0,0,0,0,0,0,0,0,1,0
2587,"Currently, there is no system that allows actors to receive SMS or email notifications of changes to Moodle pages (such as assignments or announcements).",1,0,0,0,0,0,0,0,0,0,0,0
3033,"The system counts all hold requests, including how the hold was placed: at a staff desk, at a public computer inside the library, or remotely.",1,0,0,0,0,0,0,0,0,0,0,0
6033,System shall automatically log out the user after a period of inactivity.,1,0,0,0,0,0,0,0,0,0,1,0
4063,User shall be able to search for events by subject.,1,0,0,0,0,0,0,0,0,0,0,0
8453,System shall allow up to three reattempts for unsuccessful login and display supported languages for successful login.,1,0,0,0,0,0,0,0,0,0,1,1
7095,Superuser shall reply to user questions to provide assistance.,1,0,0,0,0,0,0,0,0,0,0,0
8016,"The system shall display information about people, products, brands, and broadcaster logos identified in videos.",1,0,0,0,0,0,0,0,0,0,0,0
3778,The system should employ network segmentation for enhanced security.,0,0,0,0,0,0,0,0,0,0,1,0
3995,The system shall be able to tweet about insApption from the main menu.,1,0,0,0,0,0,0,0,0,0,0,0
9439,"System shall ensure correctness in displaying blog details and content, preventing inaccuracies.",1,0,0,0,0,0,0,0,0,0,0,0
4511,The TCS shall present to the operator the estimated time of arrival and fuel status at each programmed waypoint of the proposed mission plan.,1,0,0,0,0,0,0,0,0,0,0,0
2971,GOG must be able to process one complete source processing on 2 CPU seconds.,0,0,0,0,0,0,0,1,0,0,0,0
8888,System shall minimize the response time between user requests and task completion.,0,0,0,0,0,0,0,1,0,0,0,0
3722,The system should employ secure storage solutions for sensitive data.,0,0,0,0,0,0,0,0,0,0,1,0
4033,System shall be able to indicate POIs of a building.,1,0,0,0,0,0,0,0,0,0,0,0
2116,The system shall allow user to confirm the completion of current configuration,1,0,0,0,0,0,0,0,0,0,0,0
1514,"Warning Report â€“ warning number (translatable into text warning message), warning source, warning rates (as applicable), and time stamp.",1,0,0,0,0,0,0,0,0,0,0,0
3838,The system should utilize distributed caching to enhance performance.,0,0,0,0,0,0,0,1,0,1,0,0
4721,The system shall encrypt messages but cannot guarantee confidentiality due to potential decryption by unauthorized parties.,1,0,0,0,0,0,0,0,0,0,1,0
5518,System shall support a monitor with a minimum size of 14 inches and VGA resolution.,0,0,0,0,0,0,0,0,1,0,0,0
7338,The system shall allow staff members to send formal responses to applicants.,1,0,0,0,0,0,0,0,0,0,0,0
9490,System shall grant access and allow further actions if the ID card is valid.,1,0,0,0,0,0,0,0,0,0,1,0
1221,The CO must respond within 1 minute in both single and multi player modes.,0,0,0,0,0,0,0,1,0,0,0,0
3261,The members of this work package MUST perform the mapping between national attestations and European criteria of qualitative selection and exclusion.,1,0,0,0,0,0,0,0,0,0,0,0
6631,System shall validate the selected files according to specified criteria.,1,0,0,0,0,0,0,0,0,0,0,0
4964,"The product shall be able to process 10,000 transactions per hour within two years of its launch.",0,0,0,0,0,0,0,1,0,1,0,0
7786,System shall offer customization options to adapt to different project requirements and workflows.,1,0,0,0,0,0,0,0,1,0,0,0
7229,The system shall allow users to integrate reference data with their datasets for geographic mapping.,1,0,0,0,0,0,0,0,0,0,0,0
4844,The system shall allow a real estate agent to query MLS information.,1,0,0,0,0,0,0,0,0,0,0,0
7911,"The system shall allow associating names, subjects, and rights information with objects.",1,0,0,0,0,0,0,0,0,0,0,0
3234,A change procedure MUST be defined in order to modify sensitive economic operator data that is connected to the VCD account.,0,0,0,0,0,0,1,0,0,0,1,0
2544,The System shall provide the capability for an authorized user to adjust Product Generation priorities.,1,0,0,0,0,0,0,0,0,0,1,0
1666,"Systems supporting OM should have the ability to produce pre-formatted queries and reports to allow faster and more accurate reporting, while still allowing the flexibility of ad-hoc reporting.",1,0,0,0,0,0,0,0,0,0,0,1
2139,The ETCS trainborne equipment shall indicate on the DMI the information regarding pantograph and power supply.,1,0,0,0,0,0,0,0,0,0,0,0
7610,User shall always keep control over the activities of ALFRED.,0,0,0,0,0,0,0,0,0,0,1,1
1596,"The system must allow the administrator to extract statistics of use, standard delay of reply by member/period, percentage of unsuccessful transaction,...",1,0,0,0,0,0,1,0,0,0,0,0
5701,User shall be able to update their information.,1,0,0,0,0,0,0,0,0,0,0,0
7045,"All private data uploaded by users will be strictly confidential to other users, and users will be able to report suspicious activity to the security department.",1,0,0,0,0,0,0,0,0,0,1,0
4828,The application shall match the color of the schema set forth by Department of Homeland Security.,0,0,0,1,1,0,0,0,0,0,0,0
4619,The BE shall replace all invalid data with zero values.,1,0,0,0,0,0,0,0,0,0,0,0
5704,"User shall be able to log in as a student, admin, or company.",1,0,0,0,0,0,0,0,0,0,1,0
3947,"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",1,0,0,0,0,0,0,0,0,0,1,0
9277,User shall incorporate encryption techniques in the user/license authentication process for security.,0,0,0,0,0,0,0,0,0,0,1,0
4573,"The system should be able to handle parameter changes in three ways: single parameter, subset of settings, and pre-defined parameter set switching.",1,0,0,0,0,0,0,0,0,0,0,0
4367,The system shall perform searches via Dijkstra's shortest path algorithm.,1,0,0,0,0,0,0,0,0,0,0,0
5465,Restaurants shall assign delivery boys to deliver orders.,1,0,0,0,0,0,0,0,0,0,0,0
5423,User shall be able to search for transportation routes.,1,0,0,0,0,0,0,0,0,0,0,0
3470,"ELSS must retain all logbook reports and any corrections on the system at least until the end of each trip, i.e. on submission of the electronic landing declaration or of a transhipment report.",1,0,0,1,0,0,0,0,0,0,0,0
7243,The system shall integrate with various data analysis and storage platforms.,1,0,0,0,0,0,1,0,1,0,0,0
8684,"Administrator shall be able to generate reports, log files, and backup/recover data at any time.",1,0,1,0,0,0,1,0,0,0,0,0
7062,System shall display a confirmation message upon successful registration of the LeetCode account.,1,0,0,0,0,0,0,0,0,0,0,1
2511,"The System shall comply with ESPC (DoC/NOAA/NESDIS) procedures and policies as stated in the NOAA IT Security Manual 212-1300, Version 3.3, dated May 15, 2007.",0,0,0,1,0,0,0,0,0,0,1,0
3186,The liability of the European Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0
4276,System shall be able to utilize Geolocation scripts to determine the user's location.,1,0,0,0,0,0,0,0,0,0,0,0
2146,It shall be possible to send plain text messages from track to train.,1,0,0,0,0,0,0,0,0,0,0,0
2685,Have a decision tree for the help desk personnel that will receive questions.,0,0,0,0,0,0,1,0,0,0,0,1
3026,"For each genre and format of material, ability to compare the percentage of total circulations, the percentage of the collection, and the percentage of total shelf space that genre/format comprises. Ability to report per library and per system.",1,0,0,0,0,0,0,0,0,0,0,0
638,The system shall debit the userâ€™s account upon withdrawal of funds.,1,0,0,0,0,0,0,0,0,0,0,0
1427,The View/Select Text menu item shall provide an interface for selecting pretty-printed text or text strings associated with SDT displays.,1,0,0,0,0,0,0,0,0,0,0,0
7713,System shall offer quick access to training options from the home page.,1,0,0,0,0,0,0,0,0,0,0,1
368,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,0,0,0,0,0,0,0,0,0,0,1,0
7720,System shall ensure visibility of all sponsored events for user engagement.,1,0,0,0,0,0,0,0,0,0,0,0
4295,System shall be able to replace the main site image and description with the corresponding ones from a clicked thumbnail image on the sites page.,1,0,0,0,0,0,0,0,0,0,0,0
8870,System shall process the account deletion request and update the database accordingly.,1,0,0,0,0,0,0,0,0,0,0,0
8779,The system shall print a formatted bill for the customer.,1,0,0,0,0,0,0,0,0,0,0,0
9406,User's authentication credentials shall be encrypted and protected against brute force attacks.,0,0,0,0,0,0,0,0,0,0,1,0
2620,"For this requirement, page refers to any distinct upload point (e.g., an assignment, a wiki page, a forum post, etc.).",0,0,0,0,0,0,0,0,0,0,0,0
4899,User shall be able to initiate a dispute case and perform follow-up actions in real-time via the Disputes System.,1,0,0,0,0,0,0,1,0,0,0,0
5793,"User shall have a detailed activity log maintained, capturing actions such as logins, logouts, sales transactions, purchases, and any system operations.",0,0,0,0,0,0,1,0,0,0,1,0
568,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,1,0,0,0,0,0,1,0,0,0,0,1
6565,User shall be able to log in to theaa.com by providing a valid user ID and password.,1,0,0,0,0,0,0,0,0,0,1,0
1200,"There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has exceeded the defined limits. This process shall determine which alarm event is to be generated.",1,0,0,0,0,0,0,0,0,0,0,0
30,The system shall allow a real estate agent to query MLS information,1,0,0,0,0,0,0,0,0,0,0,0
4012,System shall be able to navigate between POIs on the campus.,1,0,0,0,0,0,0,0,0,0,0,0
8316,System shall be compatible with specified platforms.,0,0,0,0,0,0,0,0,1,0,0,0
7505,The system shall provide guidance to new publishers after signup.,1,0,0,0,0,0,0,0,0,0,0,1
1146,All user are authenticated by user name and a password.,0,0,0,0,0,0,0,0,0,0,1,0
8523,User shall be able to log in with their email and password and receive a message indicating successful sign-in.,1,0,0,0,0,0,0,0,0,0,1,1
417,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,1,0,0,0,0,0,1,1,0,0,0,0
7721,System shall facilitate convenient payment processing for individual sponsorships.,1,0,0,0,0,0,0,0,0,0,0,1
2906,Ability for the data center admin to do near-time replication to alternate site.,1,1,1,0,0,0,1,0,0,0,0,0
7633,User shall have access to a videophone feature.,1,0,0,0,0,0,0,0,0,0,0,0
81,A class shall be either a non-clinical class or a clinical class.,1,0,0,0,0,0,0,0,0,0,0,0
8290,System shall have a logical interface for ease of use and common tasks.,0,0,0,0,0,0,0,0,0,0,0,1
1384,The Application/Delete menu item shall provide an interface for deleting an application and all the files in the application directory. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.,1,0,0,0,0,0,0,0,0,0,0,1
5863,"User shall have the ability to search for jobs by keywords, category, and work status.",1,0,0,0,0,0,0,0,0,0,0,0
252,The product shall run on the existing hardware for all environments.,0,0,0,0,0,0,0,0,1,0,0,0
795,Control the database and keep track of all records of customers and employee details.,1,0,0,0,0,0,1,0,0,0,0,0
2589,The system must provide a blog engine.,1,0,0,0,0,0,0,0,0,0,0,0
305,The product shall record updated meeting agendas.,1,0,0,0,0,0,0,0,0,0,0,0
2288,A train shall be supervised to its static and dynamic train speed profiles.,1,0,0,0,0,0,0,0,0,0,0,0
4092,Administrators shall be able to modify the list of TU/e related Facebook sites.,1,0,0,0,0,0,0,0,0,0,0,0
6413,"User shall be able to delete a connection by selecting it and clicking the ""Delete"" button.",1,0,0,0,0,0,0,0,0,0,0,0
5713,The system shall be optimized for high performance by clearly separating the business logic from the UI.,0,0,0,0,0,1,0,1,0,0,0,0
766,The system should need to be entirely self-supporting since the users would be using it only to register courses.,0,0,0,0,0,0,1,0,0,0,0,0
